,submission,submit_time,hour_12,year,month,day,second,submission_type,zip_type
160,https://ckd.upgrad.com/UpGrad/2850c0ab-28ab-433c-8ddd-d35080aa8b90/DDA1610178.zip,03-01-2017 13:30,01:30:02 PM,2017,1,3,2,DDA1610178.zip,Y
161,https://ckd.upgrad.com/UpGrad/591937ab-cd38-44c6-9750-abf5f5475413/DDA1610109.zip,03-01-2017 21:09,09:09:43 PM,2017,1,3,43,DDA1610109.zip,Y
162,https://ckd.upgrad.com/UpGrad/0387ccdd-a712-4094-9c7d-d30b646b6f73/DDA1610260.zip,09-01-2017 21:51,09:51:20 PM,2017,1,9,20,DDA1610260.zip,Y
163,https://ckd.upgrad.com/UpGrad/a65db4b2-3d37-46bw-83c1-d6c67fa87s4w/DDA1610010.zip,03-01-2017 20:20,08:20:50 PM,2017,1,3,50,DDA1610010.zip,Y
164,https://ckd.upgrad.com/UpGrad/21a2aa0a-6d9a-4aa7-a91b-6a1f1bc22778/DDA1610124.7z,03-01-2017 22:33,10:33:45 PM,2017,1,3,45,DDA1610124.7z,N
165,https://ckd.upgrad.com/UpGrad/b10275c8-0a0a-47b6-b105-52a1487ab3ad/DDA1610267.zip,03-01-2017 23:59,11:59:49 PM,2017,1,3,49,DDA1610267.zip,Y
166,https://ckd.upgrad.com/UpGrad/0afb7f51-719d-426b-911f-7664b0f82911/DDA1610127.zip,03-01-2017 18:43,06:43:57 PM,2017,1,3,57,DDA1610127.zip,Y
167,https://ckd.upgrad.com/UpGrad/8a398a04-4383-4dd5-a647-5277145d9d05/DDA1610154.R,02-01-2017 21:32,09:32:47 PM,2017,1,2,47,DDA1610154.R,N
168,https://ckd.upgrad.com/UpGrad/b46a022a-b74b-4caa-b905-c7aad622db72/DDA1610014.zip,03-01-2017 23:48,11:48:00 PM,2017,1,3,0,DDA1610014.zip,Y
169,https://ckd.upgrad.com/UpGrad/3f831a1a-3082-4238-8f2a-a8030af050ca/DDA1610104.zip,03-01-2017 18:33,06:33:15 PM,2017,1,3,15,DDA1610104.zip,Y
170,https://ckd.upgrad.com/UpGrad/5b7c9a5f-3263-4854-9f38-46adb951b901/DDA1610152.zip,01-01-2017 13:57,01:57:02 PM,2017,1,1,2,DDA1610152.zip,Y
171,https://ckd.upgrad.com/UpGrad/aadfa80f-343c-4732-ac95-465cf6b12926/DDA1610187.zip,03-01-2017 21:04,09:04:41 PM,2017,1,3,41,DDA1610187.zip,Y
172,https://ckd.upgrad.com/UpGrad/33f83608-457a-42a3-bf20-c1a2c64b892c/DDA1610090.zip,03-01-2017 21:57,09:57:19 PM,2017,1,3,19,DDA1610090.zip,Y
173,https://ckd.upgrad.com/UpGrad/9ad16586-65ca-4a7f-ba83-7b198f5baa22/DDA1610099.zip,09-01-2017 23:49,11:49:00 PM,2017,1,9,0,DDA1610099.zip,Y
174,https://ckd.upgrad.com/UpGrad/6fc6d73a-c6dd-4b52-89a8-c5951a4a2ab4/DDA1610108.zip,03-01-2017 23:29,11:29:35 PM,2017,1,3,35,DDA1610108.zip,Y
175,https://ckd.upgrad.com/UpGrad/a4282825-253d-4327-b200-653b73c75c6f/DDA1610001.zip,03-01-2017 23:20,11:20:17 PM,2017,1,3,17,DDA1610001.zip,Y
176,https://ckd.upgrad.com/UpGrad/8002aa52-c1c0-4839-a8fc-b9bac5a79cab/DDA1610215.zip,01-01-2017 19:08,07:08:07 PM,2017,1,1,7,DDA1610215.zip,Y
177,https://ckd.upgrad.com/UpGrad/25a979ba-6271-496a-98c9-a1fc8a75da14/DDA1610004.zip,03-01-2017 23:45,11:45:36 PM,2017,1,3,36,DDA1610004.zip,Y
178,https://ckd.upgrad.com/UpGrad/b29ffdd8-0d48-47a9-bd5a-0040df78caf1/DDA1610286.zip,02-01-2017 14:32,02:32:35 PM,2017,1,2,35,DDA1610286.zip,Y
179,https://ckd.upgrad.com/UpGrad/a160f79d-26fa-4a62-8d55-a32bdf997a5f/DDA1610116.zip,03-01-2017 23:13,11:13:56 PM,2017,1,3,56,DDA1610116.zip,Y
180,https://ckd.upgrad.com/UpGrad/3dafd0aa-d59d-4c0a-837b-79a6a2467530/DDA1610088.zip,02-01-2017 22:21,10:21:48 PM,2017,1,2,48,DDA1610088.zip,Y
181,https://ckd.upgrad.com/UpGrad/63ffc96d-c821-437d-88b4-a4111ac5aaa7/DDA1610283.zip,30-12-2016 19:44,07:44:32 PM,2016,12,30,32,DDA1610283.zip,Y
182,https://ckd.upgrad.com/UpGrad/d4d415a4-f40a-49f3-ada3-7a44a82c60c2/DDA1610241.zip,03-01-2017 23:55,11:55:20 PM,2017,1,3,20,DDA1610241.zip,Y
